,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Melilla,35.29,-2.94,35.0,43,0,6.7,ES,1598622376
1,Tivaouane,14.95,-16.81,29.0,74,75,4.1,SN,1598622377
2,Cascais,38.7,-9.42,25.0,47,20,10.3,PT,1598622108
3,Arlit,18.74,7.39,36.32,28,100,8.68,NE,1598622378
4,Angoche,-16.23,39.91,25.82,69,63,5.07,MZ,1598622379
5,Barrow,71.29,-156.79,3.0,74,90,5.1,US,1598622379
6,Fuerte,17.54,120.36,27.98,79,100,3.46,PH,1598622380
7,Vaini,-21.2,-175.2,23.0,83,40,3.6,TO,1598622381
8,Altamira,-3.2,-52.21,28.0,74,75,1.5,BR,1598622381
9,Mataura,-46.19,168.86,7.22,72,97,4.92,NZ,1598622382
10,Ciudad del Carmen,18.63,-91.83,28.0,83,75,3.1,MX,1598622383
11,Coyhaique,-45.58,-72.07,0.0,86,75,10.8,CL,1598622383
12,Uran,18.88,72.94,26.0,94,90,4.1,IN,1598622384
13,Santa Lucía,27.91,-15.54,32.22,38,0,12.3,ES,1598622384
14,Ushuaia,-54.8,-68.3,0.0,90,90,5.1,AR,1598622385
15,Jamestown,42.1,-79.24,21.11,100,90,1.5,US,1598622385
16,Carnarvon,-24.87,113.63,20.0,82,0,6.2,AU,1598622386
17,El Batey,19.77,-70.52,30.56,79,20,3.1,DO,1598622386
18,Hualmay,-11.1,-77.61,17.92,75,58,3.1,PE,1598622387
19,Gaza,31.5,34.47,31.67,54,0,0.89,PS,1598622332
20,Mar del Plata,-38.0,-57.56,13.0,71,0,3.1,AR,1598622313
21,Jimeta,9.28,12.47,30.13,63,91,5.73,NG,1598622390
22,Lebu,-37.62,-73.65,9.1,92,100,8.24,CL,1598622390
23,Pontes e Lacerda,-15.23,-59.34,37.37,23,47,1.91,BR,1598622126
24,Butaritari,3.07,172.79,28.4,69,99,4.75,KI,1598622392
25,Avarua,-21.21,-159.78,23.0,73,100,1.5,CK,1598622392
26,Bluff,-46.6,168.33,7.22,72,66,4.92,NZ,1598622393
27,George Town,5.41,100.34,30.0,70,20,2.1,MY,1598622289
28,Springdale,36.19,-94.13,23.33,100,90,4.1,US,1598622257
29,Huarmey,-10.07,-78.15,18.61,72,40,3.63,PE,1598622394
